query_id	ndcg10	recall10	recall20	recall100	recall300	recall1000	mrr10
hu-001	0.1232	0.2500	0.2500	0.2500			0.1250
hu-002	0.8180	1.0000	1.0000	1.0000			1.0000
hu-003	0.8319	0.7500	0.7500	0.7500			1.0000
hu-004	0.0000	0.0000	0.0000	0.0000			0.0000
hu-005	0.0000	0.0000	0.0000	0.0000			0.0000
hu-006	0.5079	0.5000	0.5000	0.5000			1.0000
hu-007	0.7225	1.0000	1.0000	1.0000			0.5000
hu-008	0.6844	0.6000	0.6000	0.6000			1.0000
hu-009	0.3904	0.2500	0.2500	0.2500			1.0000
hu-010	0.1681	0.2500	0.2500	0.2500			0.2500
hu-011	0.6934	1.0000	1.0000	1.0000			0.5000
hu-012	0.8688	0.8000	0.8000	0.8000			1.0000
hu-013	1.0000	1.0000	1.0000	1.0000			1.0000
hu-014	0.8628	0.8333	0.8333	0.8333			1.0000
hu-015	1.0000	1.0000	1.0000	1.0000			1.0000
hu-016	1.0000	1.0000	1.0000	1.0000			1.0000
hu-017	0.9197	1.0000	1.0000	1.0000			1.0000
hu-018	0.7377	0.8333	1.0000	1.0000			1.0000
hu-019	0.8688	0.8000	0.8000	0.8000			1.0000
hu-020	0.9469	1.0000	1.0000	1.0000			1.0000
hu-021	1.0000	1.0000	1.0000	1.0000			1.0000
hu-022	0.6367	0.5000	0.5000	0.5000			1.0000
hu-023	0.3904	0.2500	0.2500	0.2500			1.0000
hu-024	0.5294	0.5000	0.5000	0.5000			1.0000
hu-025	1.0000	1.0000	1.0000	1.0000			1.0000
hu-026	0.6367	0.5000	0.5000	0.5000			1.0000
hu-027	1.0000	1.0000	1.0000	1.0000			1.0000
hu-028	0.0000	0.0000	0.0000	0.0000			0.0000
hu-029	0.7087	0.7500	0.7500	0.7500			1.0000
hu-030	0.8048	0.7500	0.7500	0.7500			1.0000
hu-031	0.6367	0.5000	0.5000	0.5000			1.0000
