query_id	ndcg10	recall10	recall20	recall100	recall300	recall1000	mrr10
PLAIN-2670	0.3430	0.0571	0.0571	0.1714			1.0000
PLAIN-2680	0.4920	0.2143	0.2857	0.4286			1.0000
PLAIN-2690	0.3419	0.0698	0.1163	0.1395			1.0000
PLAIN-2700	0.1498	0.1000	0.1000	0.3000			0.3333
PLAIN-2710	0.4354	0.0952	0.1905	0.2381			1.0000
PLAIN-2720	0.1795	0.0556	0.0833	0.1944			0.5000
PLAIN-2730	0.0354	0.0345	0.0345	0.1034			0.1111
PLAIN-2740	0.4169	0.0600	0.0800	0.2800			0.5000
PLAIN-2750	0.5623	0.1186	0.1695	0.2712			1.0000
PLAIN-2760	0.0000	0.0000	0.0000	0.0000			0.0000
PLAIN-2770	0.4772	0.1463	0.1707	0.5610			0.5000
PLAIN-2780	0.4022	0.1818	0.2273	0.4091			1.0000
PLAIN-2790	0.6422	0.0847	0.1186	0.1525			1.0000
PLAIN-2800	0.1450	0.0833	0.0833	0.1667			0.1429
PLAIN-2810	0.0495	0.1250	0.3750	0.5000			0.1111
PLAIN-2820	0.0000	0.0000	0.1250	0.2500			0.0000
PLAIN-2830	0.4030	0.3333	0.3333	0.6667			0.5000
PLAIN-2840	0.0000	0.0000	0.0000	0.0000			0.0000
PLAIN-2850	0.0000	0.0000	0.0000	0.0000			0.0000
PLAIN-2860	1.0000	1.0000	1.0000	1.0000			1.0000
PLAIN-2870	0.0000	0.0000	0.0000	0.2000			0.0000
PLAIN-2880	0.0000	0.0000	0.0000	0.0000			0.0000
PLAIN-2890	0.1138	0.0345	0.0345	0.0345			0.1250
PLAIN-2900	0.0000	0.0000	0.0000	0.0833			0.0000
PLAIN-2910	0.2044	0.0667	0.0667	0.0667			0.5000
PLAIN-2920	0.0000	0.0000	0.0000	0.0000			0.0000
PLAIN-2930	0.3608	0.0714	0.0714	0.4286			1.0000
PLAIN-2940	0.0000	0.0000	0.0000	0.0455			0.0000
PLAIN-2950	0.0000	0.0000	0.0000	0.0000			0.0000
PLAIN-2960	0.3274	0.5000	0.5000	0.5000			0.2500
PLAIN-2970	0.3806	0.1111	0.1111	0.2222			1.0000
PLAIN-2981	0.5080	0.2857	0.2857	0.2857			1.0000
PLAIN-2991	0.3066	0.5000	0.5000	0.5000			0.3333
PLAIN-3001	0.3066	0.5000	0.5000	0.5000			0.3333
PLAIN-3014	0.0000	0.0000	0.0000	0.0000			0.0000
