query_id	ndcg10	recall10	recall20	recall100	recall300	recall1000	mrr10
hu-001	0.1128	0.2500	0.2500	0.2500			0.1000
hu-002	1.0000	1.0000	1.0000	1.0000			1.0000
hu-003	0.7877	0.7500	0.7500	0.7500			1.0000
hu-004	0.0000	0.0000	0.0000	0.0000			0.0000
hu-005	0.0000	0.0000	0.0000	0.0000			0.0000
hu-006	0.3462	0.5000	0.5000	0.5000			0.3333
hu-007	0.6423	0.7500	1.0000	1.0000			1.0000
hu-008	0.6548	0.6000	0.6000	0.6000			1.0000
hu-009	0.3904	0.2500	0.2500	0.2500			1.0000
hu-010	0.3904	0.2500	0.2500	0.2500			1.0000
hu-011	0.4416	1.0000	1.0000	1.0000			0.2000
hu-012	0.8358	0.8000	0.8000	0.8000			1.0000
hu-013	0.7845	1.0000	1.0000	1.0000			1.0000
hu-014	0.7929	0.8333	0.8333	0.8333			1.0000
hu-015	1.0000	1.0000	1.0000	1.0000			1.0000
hu-016	0.9197	1.0000	1.0000	1.0000			1.0000
hu-017	0.9197	1.0000	1.0000	1.0000			1.0000
hu-018	0.7989	0.8333	1.0000	1.0000			1.0000
hu-019	0.8248	0.8000	0.8000	0.8000			1.0000
hu-020	0.8711	1.0000	1.0000	1.0000			1.0000
hu-021	0.9558	1.0000	1.0000	1.0000			1.0000
hu-022	0.5294	0.5000	0.5000	0.5000			1.0000
hu-023	0.3904	0.2500	0.2500	0.2500			1.0000
hu-024	0.5294	0.5000	0.5000	0.5000			1.0000
hu-025	1.0000	1.0000	1.0000	1.0000			1.0000
hu-026	0.4415	0.5000	0.5000	0.5000			0.5000
hu-027	1.0000	1.0000	1.0000	1.0000			1.0000
hu-028	0.0000	0.0000	0.0000	0.0000			0.0000
hu-029	0.6367	0.5000	0.7500	0.7500			1.0000
hu-030	0.5805	0.7500	0.7500	0.7500			0.5000
hu-031	0.5414	0.5000	0.5000	0.5000			1.0000
