query_id	ndcg10	recall10	recall20	recall100	recall300	recall1000	mrr10
hu-001	0.0000	0.0000		0.0000			0.0000
hu-002	1.0000	1.0000		1.0000			1.0000
hu-003	0.7877	0.7500		0.7500			1.0000
hu-004	0.0000	0.0000		0.0000			0.0000
hu-005	0.0000	0.0000		0.0000			0.0000
hu-006	0.1952	0.2500		0.2500			0.3333
hu-007	0.4415	0.5000		0.5000			0.5000
hu-008	0.6548	0.6000		0.6000			1.0000
hu-009	0.3904	0.2500		0.2500			1.0000
hu-010	0.1952	0.2500		0.2500			0.3333
hu-011	0.3066	0.5000		0.5000			0.3333
hu-012	0.8688	0.8000		0.8000			1.0000
hu-013	0.9675	1.0000		1.0000			1.0000
hu-014	0.6448	0.5000		0.5000			1.0000
hu-015	1.0000	1.0000		1.0000			1.0000
hu-016	1.0000	1.0000		1.0000			1.0000
hu-017	0.9197	1.0000		1.0000			1.0000
hu-018	0.4539	0.3333		0.3333			1.0000
hu-019	0.7227	0.6000		0.6000			1.0000
hu-020	1.0000	1.0000		1.0000			1.0000
hu-021	0.9829	1.0000		1.0000			1.0000
hu-022	0.7537	0.7500		0.7500			1.0000
hu-023	0.3904	0.2500		0.2500			1.0000
hu-024	0.3904	0.2500		0.2500			1.0000
hu-025	0.9197	1.0000		1.0000			1.0000
hu-026	0.3973	0.5000		0.5000			0.5000
hu-027	0.7654	0.6667		0.6667			1.0000
hu-028	0.0000	0.0000		0.0000			0.0000
hu-029	0.6367	0.5000		0.5000			1.0000
hu-030	0.5856	0.5000		0.5000			1.0000
hu-031	0.6367	0.5000		0.5000			1.0000
